2019-04-14 20:03:22 INFO     Loading Data
2019-04-14 20:03:23 INFO     Model Setting Up
2019-04-14 20:03:29 INFO     train_dir : [../mnist/train]
2019-04-14 20:03:29 INFO     test_dir : [../mnist/test]
2019-04-14 20:03:29 INFO     save_dir : [./save]
2019-04-14 20:03:29 INFO     num_epochs : [500]
2019-04-14 20:03:29 INFO     batch_size : [300]
2019-04-14 20:03:29 INFO     num_points : [512]
2019-04-14 20:03:29 INFO     sigma : [0.05]
2019-04-14 20:03:29 INFO     log_interval : [1000]
2019-04-14 20:03:29 INFO     save_interval : [50]
2019-04-14 20:03:29 INFO     baselr : [5e-05]
2019-04-14 20:03:29 INFO     density_radius : [0.2]
2019-04-14 20:03:29 INFO     feature_out1 : [8]
2019-04-14 20:03:29 INFO     feature_out2 : [16]
2019-04-14 20:03:29 INFO     feature_out3 : [32]
2019-04-14 20:03:29 INFO     feature_out4 : [64]
2019-04-14 20:03:29 INFO     feature_out5 : [128]
2019-04-14 20:03:29 INFO     num_classes : [10]
2019-04-14 20:03:29 INFO     bandwidth_0 : [10]
2019-04-14 20:03:29 INFO     bandwidth_out1 : [10]
2019-04-14 20:03:29 INFO     bandwidth_out2 : [8]
2019-04-14 20:03:29 INFO     bandwidth_out3 : [6]
2019-04-14 20:03:29 INFO     bandwidth_out4 : [4]
2019-04-14 20:03:29 INFO     bandwidth_out5 : [2]
2019-04-14 20:03:29 INFO     resume_training : [0]
2019-04-14 20:03:29 INFO     Start Training
2019-04-14 20:03:29 INFO     Saved model checkpoints into ./save/2019-04-14_20-03-29-model.ckpt...
2019-04-14 20:03:35 INFO     Batch: [0/200] Epoch: [0] Loss: [2.3061234951019287]
2019-04-14 20:03:35 INFO     Batch: [1/200] Epoch: [0] Loss: [2.304916739463806]
2019-04-14 20:03:35 INFO     Batch: [2/200] Epoch: [0] Loss: [2.3048794269561768]
2019-04-14 20:03:35 INFO     Batch: [3/200] Epoch: [0] Loss: [2.3062663078308105]
2019-04-14 20:03:35 INFO     Batch: [4/200] Epoch: [0] Loss: [2.3054354190826416]
2019-04-14 20:03:35 INFO     Batch: [5/200] Epoch: [0] Loss: [2.305987556775411]
2019-04-14 20:03:35 INFO     Batch: [6/200] Epoch: [0] Loss: [2.305139950343541]
2019-04-14 20:03:36 INFO     Batch: [7/200] Epoch: [0] Loss: [2.3046475648880005]
2019-04-14 20:03:36 INFO     Batch: [8/200] Epoch: [0] Loss: [2.3048676914638944]
2019-04-14 20:03:36 INFO     Batch: [9/200] Epoch: [0] Loss: [2.3044166803359984]
2019-04-14 20:03:36 INFO     Batch: [10/200] Epoch: [0] Loss: [2.3037261312658135]
2019-04-14 20:03:36 INFO     Batch: [11/200] Epoch: [0] Loss: [2.3030942479769387]
2019-04-14 20:03:36 INFO     Batch: [12/200] Epoch: [0] Loss: [2.3027898348294773]
2019-04-14 20:03:37 INFO     Batch: [13/200] Epoch: [0] Loss: [2.302837439945766]
2019-04-14 20:03:37 INFO     Batch: [14/200] Epoch: [0] Loss: [2.3030375480651855]
2019-04-14 20:03:37 INFO     Batch: [15/200] Epoch: [0] Loss: [2.303206965327263]
2019-04-14 20:03:37 INFO     Batch: [16/200] Epoch: [0] Loss: [2.3031951118918026]
2019-04-14 20:03:37 INFO     Batch: [17/200] Epoch: [0] Loss: [2.302922010421753]
2019-04-14 20:03:37 INFO     Batch: [18/200] Epoch: [0] Loss: [2.3028639492235685]
2019-04-14 20:03:37 INFO     Batch: [19/200] Epoch: [0] Loss: [2.302490746974945]
2019-04-14 20:03:38 INFO     Batch: [20/200] Epoch: [0] Loss: [2.3029638812655495]
2019-04-14 20:03:38 INFO     Batch: [21/200] Epoch: [0] Loss: [2.3029834140430796]
2019-04-14 20:03:38 INFO     Batch: [22/200] Epoch: [0] Loss: [2.3028019925822383]
2019-04-14 20:03:38 INFO     Batch: [23/200] Epoch: [0] Loss: [2.302709291378657]
2019-04-14 20:03:38 INFO     Batch: [24/200] Epoch: [0] Loss: [2.302496118545532]
2019-04-14 20:03:38 INFO     Batch: [25/200] Epoch: [0] Loss: [2.302497781240023]
2019-04-14 20:03:38 INFO     Batch: [26/200] Epoch: [0] Loss: [2.302703822100604]
2019-04-14 20:03:39 INFO     Batch: [27/200] Epoch: [0] Loss: [2.302924403122493]
2019-04-14 20:03:39 INFO     Batch: [28/200] Epoch: [0] Loss: [2.3029779483532082]
2019-04-14 20:03:39 INFO     Batch: [29/200] Epoch: [0] Loss: [2.3028185844421385]
2019-04-14 20:03:39 INFO     Batch: [30/200] Epoch: [0] Loss: [2.302956227333315]
2019-04-14 20:03:39 INFO     Batch: [31/200] Epoch: [0] Loss: [2.303155444562435]
2019-04-14 20:03:39 INFO     Batch: [32/200] Epoch: [0] Loss: [2.3036143852002695]
