2019-03-20 22:58:01 INFO     Loading Data
2019-03-20 22:58:06 INFO     Model Setting Up
2019-03-20 22:58:18 INFO     Start Training
2019-03-20 22:58:27 INFO     Batch: [0/600] Epoch: [0] Loss: [2.295208215713501]
2019-03-20 22:58:29 INFO     Accuracy: [0.13090909090909092]

2019-03-20 22:58:30 INFO     Batch: [1/600] Epoch: [0] Loss: [2.2876733541488647]
2019-03-20 22:58:30 INFO     Batch: [2/600] Epoch: [0] Loss: [2.2788684368133545]
2019-03-20 22:58:30 INFO     Batch: [3/600] Epoch: [0] Loss: [2.2748265862464905]
2019-03-20 22:58:30 INFO     Batch: [4/600] Epoch: [0] Loss: [2.269090700149536]
2019-03-20 22:58:30 INFO     Batch: [5/600] Epoch: [0] Loss: [2.2606635093688965]
2019-03-20 22:58:31 INFO     Batch: [6/600] Epoch: [0] Loss: [2.257714646203177]
2019-03-20 22:58:31 INFO     Batch: [7/600] Epoch: [0] Loss: [2.2563741207122803]
2019-03-20 22:58:31 INFO     Batch: [8/600] Epoch: [0] Loss: [2.248342196146647]
2019-03-20 22:58:31 INFO     Batch: [9/600] Epoch: [0] Loss: [2.2463671445846556]
2019-03-20 22:58:32 INFO     Batch: [10/600] Epoch: [0] Loss: [2.242288914593783]
2019-03-20 22:58:33 INFO     Accuracy: [0.21909090909090911]

2019-03-20 22:58:34 INFO     Batch: [11/600] Epoch: [0] Loss: [2.2375399669011435]
2019-03-20 22:58:34 INFO     Batch: [12/600] Epoch: [0] Loss: [2.2314496407142053]
2019-03-20 22:58:34 INFO     Batch: [13/600] Epoch: [0] Loss: [2.2282444068363736]
2019-03-20 22:58:34 INFO     Batch: [14/600] Epoch: [0] Loss: [2.222815465927124]
2019-03-20 22:58:34 INFO     Batch: [15/600] Epoch: [0] Loss: [2.215944305062294]
2019-03-20 22:58:35 INFO     Batch: [16/600] Epoch: [0] Loss: [2.210582733154297]
2019-03-20 22:58:35 INFO     Batch: [17/600] Epoch: [0] Loss: [2.205195943514506]
2019-03-20 22:58:35 INFO     Batch: [18/600] Epoch: [0] Loss: [2.1980166686208626]
2019-03-20 22:58:35 INFO     Batch: [19/600] Epoch: [0] Loss: [2.1918804049491882]
2019-03-20 22:58:36 INFO     Batch: [20/600] Epoch: [0] Loss: [2.1887186481839134]
2019-03-20 22:58:37 INFO     Accuracy: [0.2645454545454546]

2019-03-20 22:58:38 INFO     Batch: [21/600] Epoch: [0] Loss: [2.1833284226330845]
2019-03-20 22:58:38 INFO     Batch: [22/600] Epoch: [0] Loss: [2.174448303554369]
2019-03-20 22:58:38 INFO     Batch: [23/600] Epoch: [0] Loss: [2.1726374427477517]
2019-03-20 22:58:38 INFO     Batch: [24/600] Epoch: [0] Loss: [2.167958698272705]
2019-03-20 22:58:38 INFO     Batch: [25/600] Epoch: [0] Loss: [2.162952368076031]
2019-03-20 22:58:39 INFO     Batch: [26/600] Epoch: [0] Loss: [2.1602541782237865]
2019-03-20 22:58:39 INFO     Batch: [27/600] Epoch: [0] Loss: [2.1550669925553456]
2019-03-20 22:58:39 INFO     Batch: [28/600] Epoch: [0] Loss: [2.1503670708886506]
2019-03-20 22:58:39 INFO     Batch: [29/600] Epoch: [0] Loss: [2.1453672726949056]
2019-03-20 22:58:40 INFO     Batch: [30/600] Epoch: [0] Loss: [2.1465317203152563]
2019-03-20 22:58:41 INFO     Accuracy: [0.26363636363636367]

2019-03-20 22:58:42 INFO     Batch: [31/600] Epoch: [0] Loss: [2.1440784856677055]
2019-03-20 22:58:42 INFO     Batch: [32/600] Epoch: [0] Loss: [2.1420467766848477]
2019-03-20 22:58:42 INFO     Batch: [33/600] Epoch: [0] Loss: [2.138590419993681]
2019-03-20 22:58:42 INFO     Batch: [34/600] Epoch: [0] Loss: [2.135391242163522]
2019-03-20 22:58:42 INFO     Batch: [35/600] Epoch: [0] Loss: [2.1335472067197165]
2019-03-20 22:58:43 INFO     Batch: [36/600] Epoch: [0] Loss: [2.129188666472564]
2019-03-20 22:58:43 INFO     Batch: [37/600] Epoch: [0] Loss: [2.1282494632821334]
